event_id,inv_id,timestamp_debut,timestamp_fin,duree_minutes,peak_error,dtw_distance,mean_error,gradient_montee,gradient_descente
62,1,2018-07-17 14:25,2018-07-17 15:20,60,0.6313,0.0,0.4419,0.05,-0.03
63,1,2018-07-17 16:00,2018-07-17 16:45,50,0.4623,0.0,0.3236,0.05,-0.03
64,1,2018-07-19 13:30,2018-07-19 14:10,45,0.7351,0.0,0.5146,0.05,-0.03
65,1,2018-07-19 15:40,2018-07-19 16:10,35,0.5348,0.0,0.3744,0.05,-0.03
66,1,2018-07-21 09:35,2018-07-21 09:45,15,0.3933,0.0,0.2753,0.05,-0.03
67,1,2018-07-21 14:25,2018-07-21 14:35,15,0.6917,0.0,0.4842,0.05,-0.03
68,1,2018-07-23 09:35,2018-07-23 09:45,15,0.4204,0.0,0.2943,0.05,-0.03
69,1,2018-07-23 13:40,2018-07-23 13:50,15,0.7142,0.0,0.4999,0.05,-0.03
70,1,2018-07-23 15:00,2018-07-23 15:10,15,0.6049,0.0,0.4234,0.05,-0.03
71,1,2018-07-23 16:00,2018-07-23 16:10,15,0.4887,0.0,0.3421,0.05,-0.03
72,1,2018-07-23 17:20,2018-07-23 17:30,15,0.4575,0.0,0.3202,0.05,-0.03
73,1,2018-07-25 10:30,2018-07-25 10:40,15,0.6017,0.0,0.4212,0.05,-0.03
74,1,2018-07-25 11:25,2018-07-25 11:35,15,0.67,0.0,0.469,0.05,-0.03
75,1,2018-07-25 12:55,2018-07-25 13:05,15,0.6458,0.0,0.4521,0.05,-0.03
76,1,2018-07-25 13:50,2018-07-25 16:00,135,0.5721,0.0,0.4005,0.05,-0.03
77,1,2018-07-25 16:50,2018-07-25 18:15,90,0.4318,0.0,0.3023,0.05,-0.03
78,1,2018-07-28 11:40,2018-07-28 11:50,15,0.6129,0.0,0.429,0.05,-0.03
79,1,2018-07-28 13:35,2018-07-28 13:45,15,0.5694,0.0,0.3986,0.05,-0.03
80,1,2018-07-28 14:50,2018-07-28 15:15,30,0.5096,0.0,0.3567,0.05,-0.03
81,1,2018-07-28 15:50,2018-07-28 16:45,60,0.4294,0.0,0.3006,0.05,-0.03
82,1,2018-07-28 17:45,2018-07-28 18:55,75,0.3728,0.0,0.261,0.05,-0.03
83,1,2018-07-31 13:05,2018-07-31 13:15,15,0.6277,0.0,0.4394,0.05,-0.03
84,1,2018-07-31 14:30,2018-07-31 14:55,30,0.5815,0.0,0.407,0.05,-0.03
85,1,2018-07-31 16:10,2018-07-31 16:20,15,0.434,0.0,0.3038,0.05,-0.03
86,1,2018-07-31 19:10,2018-07-31 19:20,15,0.1635,0.0,0.1144,0.05,-0.03
87,1,2018-08-11 13:05,2018-08-11 13:15,15,0.6261,0.0,0.4383,0.05,-0.03
88,1,2018-08-11 14:45,2018-08-11 16:05,85,0.5081,0.0,0.3557,0.05,-0.03
89,1,2018-08-11 16:55,2018-08-11 17:05,15,0.3755,0.0,0.2628,0.05,-0.03
90,1,2018-08-12 09:00,2018-08-12 09:10,15,0.2478,0.0,0.1735,0.05,-0.03
91,1,2018-08-12 09:50,2018-08-12 10:00,15,0.3527,0.0,0.2469,0.05,-0.03
92,1,2018-08-12 11:10,2018-08-12 11:20,15,0.5752,0.0,0.4026,0.05,-0.03
93,1,2018-08-12 13:25,2018-08-12 13:35,15,0.6712,0.0,0.4698,0.05,-0.03
94,1,2018-08-12 14:35,2018-08-12 15:25,55,0.6031,0.0,0.4222,0.05,-0.03
95,1,2018-08-12 17:10,2018-08-12 17:20,15,0.4031,0.0,0.2822,0.05,-0.03
96,1,2018-08-14 11:35,2018-08-14 12:30,60,0.2358,0.0,0.1651,0.05,-0.03
97,1,2018-08-14 13:40,2018-08-14 14:25,50,0.5999,0.0,0.4199,0.05,-0.03
98,1,2018-08-14 15:00,2018-08-14 15:10,15,0.5543,0.0,0.388,0.05,-0.03
99,1,2018-08-14 17:20,2018-08-14 17:30,15,0.3974,0.0,0.2782,0.05,-0.03
100,1,2018-08-14 18:25,2018-08-14 18:35,15,0.275,0.0,0.1925,0.05,-0.03
101,1,2018-08-18 09:55,2018-08-18 10:05,15,0.4265,0.0,0.2986,0.05,-0.03
102,1,2018-08-18 10:45,2018-08-18 10:55,15,0.5331,0.0,0.3732,0.05,-0.03
103,1,2018-08-18 11:55,2018-08-18 12:05,15,0.6163,0.0,0.4314,0.05,-0.03
104,1,2018-08-18 12:40,2018-08-18 12:50,15,0.6268,0.0,0.4388,0.05,-0.03
105,1,2018-08-18 16:25,2018-08-18 17:30,70,0.4288,0.0,0.3002,0.05,-0.03
106,1,2018-08-18 18:20,2018-08-18 18:30,15,0.2393,0.0,0.1675,0.05,-0.03
107,1,2018-08-19 12:55,2018-08-19 13:05,15,0.6269,0.0,0.4388,0.05,-0.03
108,1,2018-08-19 14:35,2018-08-19 14:45,15,0.5581,0.0,0.3907,0.05,-0.03
109,1,2018-08-19 16:45,2018-08-19 16:55,15,0.3778,0.0,0.2645,0.05,-0.03
110,1,2018-08-19 17:30,2018-08-19 18:25,60,0.2725,0.0,0.1908,0.05,-0.03
111,1,2018-08-22 09:40,2018-08-22 09:50,15,0.3545,0.0,0.2482,0.05,-0.03
